subject_id,item_id,counterbalance,condition,audience_group,shared.tangram,unique.tangram,response.unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,blue,L,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,blue,B,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,red,C,D,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,red,C,H,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,red,C,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,blue,L,H,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,red,C,A,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,red,L,A,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,red,B,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,blue,L,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,red,B,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,blue,L,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,blue,L,D,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,red,C,A,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,blue,L,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,blue,B,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,red,B,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,red,C,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,blue,B,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,red,L,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,red,B,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,blue,B,A,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,red,H,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,blue,A,B,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,red,H,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,red,A,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,blue,H,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,red,D,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,red,A,B,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,blue,D,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,blue,A,B,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,red,A,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,red,A,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,blue,D,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,blue,A,C,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,red,D,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,blue,D,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,red,D,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,red,A,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,red,D,B,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,blue,H,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,blue,H,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,blue,H,L,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,red,A,C,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,red,H,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,blue,A,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,red,H,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,red,H,C,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,blue,A,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,red,A,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,blue,A,L,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,blue,H,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,red,D,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,blue,H,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,blue,D,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,red,H,B,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,blue,D,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,red,H,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,blue,D,B,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,blue,H,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,red,H,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,red,A,B,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,blue,A,C,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,blue,D,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,red,D,B,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,red,A,L,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,red,D,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,blue,D,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,red,D,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,red,H,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,blue,A,C,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,either refer,blue,H,C,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,blue,A,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,red,D,C,unique
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one social,blue,D,L,shared
0cd1232f-d126-421e-9775-2a3cb67fd943,0,b,one refer,blue,H,C,unique
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one refer,red,A,C,unique
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,red,H,B,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,blue,A,C,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one refer,red,H,L,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,red,D,C,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one refer,blue,H,C,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one refer,blue,A,B,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,either refer,blue,H,C,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one refer,blue,H,L,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,red,H,L,unique
d74541aa-043b-447a-93de-b731851dd4fd,0,b,either refer,red,A,C,unique
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,blue,D,L,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,red,A,B,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one refer,blue,D,L,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one refer,red,D,B,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,either refer,blue,H,L,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,red,D,B,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,blue,H,B,unique
d74541aa-043b-447a-93de-b731851dd4fd,0,b,either refer,red,D,B,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one refer,red,A,L,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,blue,A,L,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,blue,H,C,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,either refer,blue,D,B,shared
d74541aa-043b-447a-93de-b731851dd4fd,0,b,one social,red,A,L,shared
