subject_id,item_id,type,goal,audience,audience_group,option1.tangram,option1.shared,option1.group,option1.label,option2.tangram,option2.shared,option2.group,option2.label,response.tangram,response.shared,response.group,response.label,understood
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,blue,B,shared,blue,mouse,H,unique,blue,no arms,B,shared,blue,mouse,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,C,shared,red,falling guy,H,unique,red,baby,C,shared,red,falling guy,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,B,shared,blue,mouse,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,red,C,shared,red,falling guy,A,unique,red,thriller,A,unique,red,thriller,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,blue,B,shared,blue,mouse,H,unique,blue,no arms,B,shared,blue,mouse,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,same,social,one,blue,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,red,L,shared,red,zigzag,H,unique,red,baby,H,unique,red,baby,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,red,B,shared,red,mouse,D,unique,red,priest,D,unique,red,priest,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,blue,L,shared,blue,zigzag,A,unique,blue,zombie,A,unique,blue,zombie,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,red,L,shared,red,zigzag,H,unique,red,baby,H,unique,red,baby,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,blue,B,shared,blue,mouse,D,unique,blue,long sleeved book,B,shared,blue,mouse,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,red,C,shared,red,falling guy,H,unique,red,baby,H,unique,red,baby,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,L,shared,red,zigzag,D,unique,red,priest,L,shared,red,zigzag,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,red,C,shared,red,falling guy,D,unique,red,priest,D,unique,red,priest,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,same,social,one,blue,A,unique,red,thriller,A,unique,blue,zombie,A,unique,blue,zombie,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,A,unique,blue,zombie,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,same,social,one,blue,H,unique,red,baby,H,unique,blue,no arms,H,unique,blue,no arms,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,L,shared,blue,zigzag,H,unique,blue,no arms,L,shared,blue,zigzag,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,B,shared,red,mouse,A,unique,red,thriller,A,unique,red,thriller,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,red,C,shared,red,falling guy,D,unique,red,priest,D,unique,red,priest,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,B,shared,blue,mouse,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,same,refer,one,red,B,shared,,mouse,B,,unseen,princess dance,B,,unseen,princess dance,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,A,unique,blue,zombie,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,red,B,shared,red,mouse,A,unique,red,thriller,A,unique,red,thriller,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
