subject_id,item_id,counterbalance,n_ingroup,n_outgroup,goal,tangram,response.earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,1,social,L,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,16,social,B,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,0,social,A,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,2,refer,C,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,16,refer,A,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,0,1,refer,L,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,2,refer,L,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,1,refer,C,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,1,refer,B,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,8,social,H,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,2,social,L,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,16,refer,B,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,1,refer,L,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,1,refer,H,later
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,8,refer,H,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,16,social,D,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,0,16,refer,H,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,4,refer,D,later
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,16,refer,D,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,0,social,A,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,4,refer,C,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,4,refer,D,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,0,2,refer,C,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,2,social,L,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,8,refer,H,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,8,social,A,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,16,social,A,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,2,social,L,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,8,refer,H,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,4,social,B,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,0,social,D,later
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,0,refer,B,later
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,0,refer,A,later
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,0,refer,D,later
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,2,refer,L,later
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,4,refer,B,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,0,8,refer,D,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,1,social,C,later
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,16,refer,A,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,8,social,H,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,0,2,refer,A,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,1,social,H,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,8,refer,C,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,1,refer,H,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,8,social,C,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,0,refer,H,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,0,refer,C,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,2,refer,L,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,16,refer,L,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,0,social,L,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,1,refer,A,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,0,4,refer,B,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,8,refer,C,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,8,social,D,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,0,social,C,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,2,social,L,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,8,refer,D,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,0,social,H,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,4,social,C,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,4,social,D,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,16,refer,H,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,16,refer,A,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,4,refer,A,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,2,refer,D,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,2,social,B,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,16,social,L,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,1,refer,L,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,4,social,A,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,16,social,A,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,0,refer,C,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,16,social,L,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,1,refer,D,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,8,refer,H,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,0,social,C,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,1,social,D,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,16,social,H,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,8,social,C,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,4,refer,C,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,2,refer,B,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,8,social,H,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,2,social,D,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,2,social,B,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,4,16,refer,L,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,1,social,L,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,4,refer,H,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,4,refer,D,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,2,refer,B,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,0,16,refer,B,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,2,0,refer,L,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,0,8,refer,A,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,0,1,refer,B,earlier
59360c6e-73fd-47e1-9967-2540c7219431,0,a,1,1,social,A,later
59360c6e-73fd-47e1-9967-2540c7219431,0,a,3,4,social,H,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,16,refer,H,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,2,social,B,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,16,social,H,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,2,social,D,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,4,refer,C,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,8,social,D,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,1,refer,L,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,8,social,C,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,8,social,H,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,0,16,refer,B,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,8,social,A,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,0,social,C,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,0,refer,D,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,1,social,A,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,1,refer,D,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,0,4,refer,A,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,2,refer,B,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,1,refer,A,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,4,social,A,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,0,refer,D,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,1,refer,L,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,4,refer,B,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,16,social,B,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,16,social,L,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,1,social,D,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,4,social,C,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,3,2,social,H,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,16,refer,L,earlier
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,4,0,social,D,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,1,social,L,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,1,2,social,L,later
6c02add1-aea0-442b-ba82-aa8b4ea2d3e2,0,a,2,4,refer,L,earlier
