subject_id,item_id,counterbalance,condition,goal,audience,audience_group,tangram,shared,response.earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,red,B,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,blue,H,unique,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,red,B,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,blue,B,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,red,L,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,red,H,unique,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,red,H,unique,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,blue,D,unique,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,blue,D,unique,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,red,B,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,red,L,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,blue,C,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,blue,A,unique,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,red,A,unique,earlier
003eb296-748a-41bc-826e-c4197131ad30,0,b,either refer,refer,either,blue,D,shared,earlier
003eb296-748a-41bc-826e-c4197131ad30,0,b,one social,social,one,red,H,shared,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,either refer,refer,either,red,H,shared,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,either refer,refer,either,blue,A,shared,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one social,social,one,red,A,shared,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one refer,refer,one,red,L,unique,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,either refer,refer,either,blue,L,unique,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one social,social,one,red,L,unique,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,either refer,refer,either,red,D,shared,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one social,social,one,red,D,shared,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one refer,refer,one,blue,D,shared,earlier
003eb296-748a-41bc-826e-c4197131ad30,0,b,one social,social,one,blue,L,unique,earlier
003eb296-748a-41bc-826e-c4197131ad30,0,b,either refer,refer,either,blue,B,unique,earlier
003eb296-748a-41bc-826e-c4197131ad30,0,b,either refer,refer,either,blue,C,unique,earlier
003eb296-748a-41bc-826e-c4197131ad30,0,b,one social,social,one,blue,D,shared,earlier
003eb296-748a-41bc-826e-c4197131ad30,0,b,either refer,refer,either,red,B,unique,earlier
003eb296-748a-41bc-826e-c4197131ad30,0,b,one refer,refer,one,red,H,shared,earlier
003eb296-748a-41bc-826e-c4197131ad30,0,b,one social,social,one,blue,A,shared,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one refer,refer,one,red,C,unique,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,either refer,refer,either,red,L,unique,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one social,social,one,red,B,unique,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one social,social,one,blue,B,unique,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one refer,refer,one,blue,A,shared,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one refer,refer,one,blue,B,unique,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one refer,refer,one,blue,L,unique,earlier
003eb296-748a-41bc-826e-c4197131ad30,0,b,one refer,refer,one,blue,H,shared,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one social,social,one,red,C,unique,later
003eb296-748a-41bc-826e-c4197131ad30,0,b,one refer,refer,one,red,A,shared,later
